Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
La Libertà |New York, NY|1902); microfilm: 1902||ita|eng|M||N|||Liberty|
Leonardo Da Vinci Art School Yearbook|New York, NY|1924, 1937-1939||ita|eng,|P||N||||
Libertas |Brooklyn, NY|||ita|eng|P||N|||Industrial Workers of the World|
Lucca Bolletino Economico |Lucca, Italy|1975||ita|eng|P||N|||Lucca Economic Bulletin|
La Lucerna |River Forest, IL (previously published in New York, NY)|1946, 1950-1954, 1958||ita|eng|P||N|||The Lamp|
Il Lupo |Omaha, NE|1925||ita|eng|P||N|||The Wolf|
Il Martello |New York, NY|1942-1943||ita|eng|P||N|||The Hammer|
Mazzini News|New York, NY|1941-1942||ita|eng,|P||N||||
Mazzini-Verdi Club News|Chicago, IL|1971-1972||ita|eng,|P||N||||
Le Mammole della Madre Cabrini |Rome, Italy|1966||ita|eng|P||N|||The Violets of Mother Cabrini|
Mazzuchelli Bulletin|Sinsinawa, WI|1965-1968, 1974-1976, 1978-1979||ita|eng,|P||N||||
Return to top.||||ita||P||N||||
Il Messaggero |Kansas City, MO|1958, 1965, 1967, 1975||ita|eng,|P||N|||The Messenger|
Il Messaggero di Lucca |Lucca, Italy|1956, 1969-1984||ita|eng|P||N|||The Lucca Messenger|
1900--29 Luglio--1901 |New York, NY|1901); microfilm: 1901||ita|eng|M||N|||1900--29 July--1901|
Le Missioni Scalabriniane |Rome, Italy|1944-1946||ita|eng|P||N|||The Scalabrinian Missions|
Il Momo; Satirical--Humorous--Critical|Philadelphia, PA|1922||ita||P||N||||
Il Mondo |New York, NY|1938-1946||ita|eng,|P||N|||The World|
Il Mondo Libero |Dearborn, MI|1956-1959, 1961-1972||ita|eng,|P||N|||The Free World|
Mondo Nuovo |Parlin, NJ|1972||ita|eng|P||N|||New World|
Mosaico |Downsview, Ontario, Canada|1975-1976||ita|eng,|P||N|||Mosaic|
Mother Cabrini Messenger|Chicago, IL|1952-1966, 1979-date||ita|eng,|P||N||||
The New Aurora |Upper Darby, PA|1963-1970||ita|eng,ita,|P||N|||Italian Baptist Association|
A New Day|Bloomfield, NJ|1976||ita|eng,|P||N||||
News & Notes from Father Peter|Springfield, PA|1976-1978||ita|eng,|P||N||||
Notiziario Consolare |Toronto, Ontario, Canada|1979||ita|eng|P||N|||Consular Bulletin|
Notiziario Emigrazione |Italy|1982-1985||ita|eng|P||N|||Emigration News|
Return to top.||||ita||P||N||||
Notiziario Internazionale del Movimento Sindicale Libero |New York, NY|1949, 1952||ita|eng|P||N|||International News of the Free Syndical Movement|
Notizie dall'Italia |Turin, Italy|1980-1981, 1983-date||ita|eng,|P||N|||News from Italy|
Notizie della Stella |St|1977-1994||ita|eng,|P||N|||Stella News|
Novatore |New York, NY|1910-1911); microfilm: 1910-1911||ita|eng|M||N|||The Innovator|
Nuovi Tempi |Paterson, NJ|1918); microfilm: 1918||ita|eng|M||N|||New Times|
Ordine Figli d'Italia in America Bollettino Ufficiale |New York, NY|1923-1924; microfilm: 1923-1929||ita|eng|M||N|||Official Bulletin of the Order Sons of Italy in America|
L'Organizzatore |Ybor City, FL|1920||ita|eng|P||N|||The Organizer|
Pacis Romanae Ordo Filiorum |New York, NY|||ita|eng,|P||N|||PROF|
Il Palcoscenico |New York, NY|1936||ita|eng|P||N|||The Stage|
Panorama|New York, NY|1941||ita||P||N||||
La Parola del Medico |New York, NY|1916-1917||ita|eng|P||N|||The Doctor's Word|
La Parola del Popolo |Chicago, IL|1937||ita|ita,eng|P||N|||The Word of the People; Italian Socialist Federation of the Socialist Party of U.S.A.|
La Parola del Popolo |Chicago, IL|1951-1982||ita|eng,|P||N|||The Word of the People|
La Pasqua dei Lavoratori |New York, NY|1898); microfilm: 1898||ita|eng|M||N|||The Workers' Easter|
Il Pensiero |New York, NY|1939||ita|eng|P||N|||The Thought|
Return to top.||||ita||P||N||||
Petrosino|Florence, Italy|1973||ita||P||N||||
Il Piccolo Scrivano |Rochester, NY|1936-1937, 1939-1940||ita|eng|P||N|||The Little Scribe; East High School|
Il Piccone |Taylorville, IL|1909); microfilm: 1909||ita|eng|M||N|||The Pickax|
Pious Society of the Missionaries of St. Charles Borromeo Annuario Scalabriniano|Rome, Italy|1965||ita||P||N||||
Pro Nobis |Calumet, MI|1912||ita|eng|P||N|||For Us; Knights of Romulus|
Il Progresso Italo-Americano |New York, NY|1944||ita|ita,eng|P||N|||The Italian American Progress|
Progresso Italo-Americano Calendario |New York, NY|1907||ita|ita,eng|P||N|||Italian American Progress Calendar|
Prometeo |New York, NY|1925, 1928||ita|eng,|P||N|||Prometheus; Amalgamated Clothing Workers|
La Protesta Umana |Chicago, IL|1902-1903); microfilm: 1902-1903||ita|eng|M||N|||Human Protest|
La Protesta Umana |San Francisco, CA|1900, 1903-1904); microfilm: 1900, 1903-1904||ita|fre,ita,eng|M||N|||Human Protest|
Quaderni Canadesi |Downsview, Ontario, Canada|1978||ita|eng|P||N|||Canadian Notebooks|
Quaderni Italiani |New York, NY (previously published in Boston, MA)|1942, 1944||ita|ita,eng|P||N|||Italian Notebooks|
Quaderno de Giustizia e Libertà |Paris, France|1933-1935||ita|eng|P||N|||Notebook of Justice and Liberty|
Red White Green Magazine |Bensenville, IL|1979||ita|eng,ita,|P||N|||Italian American Sports Hall of Fame|
Il Refrattario |New York, NY|1919); microfilm: 1919||ita|eng|M||N|||The Recalcitrant|
Return to top.||||ita||P||N||||
Regnum Christi Insieme |Chicago, IL|1950, 1952, 1960-1975, 1980||ita|ita,eng|P||N|||Reign of Christ Without End; National Italian Center|
The Renewal; Il Rinnovamento |Jersey City, NJ|1965||ita|eng,|P||N|||A Magazine of Christian Thought and Ethics|
La Rinascenza |Stamford, CT|1922||ita|eng|P||N|||Renaissance|
La Riscossa |Brooklyn, NY|1916-1917); microfilm: 1916-1917||ita|eng|M||N|||The Revolt|
Risorgimento |Brooklyn, NY|||ita|eng|P||N|||Resurgence|
Rivista Italo-Americana |Denver, CO|1913-1914||ita|ita,eng|P||N|||Italian-American Review|
La Rivolta |Madison, IL|1913-1914); microfilm: 1913-1914||ita|eng|M||N|||The Revolt|
La Ronda |New York, NY|1945||ita|eng|P||N|||The Patrol|
The Rubican|New York, NY|1944, 1954-1956||ita|eng,|P||N||||
Lo Scacciapensieri |Omaha, NE|1933||ita|eng|P||N|||The Pastime|
Scalabrinians|Staten Island, NY|1979-date||ita|eng,|P||N||||
Selezione Centro Studi Emigrazione--Roma |Rome), Rome, Italy|1966-1967, 1969-1972||ita|eng|P||N|||Digest from the Emigration Studies Center|
La Sentinella |Hoboken, NJ|1907); microfilm: 1907||ita|eng|M||N|||The Sentry|
La Sentinella |Utica, NY|1915); microfilm: 1915||ita|eng|M||N|||The Sentry|
Servizio Migranti |Rome, Italy|1973-date||ita|eng|P||N|||Migration Service|
Return to top.||||ita||P||N||||
La Settimana |New York, NY|1936-1937||ita|eng,|P||N|||The Week|
Sicilia Parra; Newsletter of Arba Sicula|the International Sicilian Ethnic and Cultural Association, Brooklyn, NY|1983-1984||ita|eng,|P||N||||
Il Solco |New York, NY|1927||ita|eng|P||N|||The Furrow|
Storia Nordamericana|Turin, Italy : Comitato italiano per la storia nordamericana|Comitato italiano per la storia nordamericana||ita||P||N||||
La Strada; Rivista Mensile di Cultura Popolare |New York, NY|A Monthly Review of Popular Culture), New York, NY||ita|eng|P||N|||The Street: A Monthly Review of Popular Culture|
Strenna Almanacco e Catalogo Generale della Libreria Banca Tocci |New York, NY|1913||ita|eng|P||N|||Gift Almanac and General Catalog of the Tocci Bookstore|
Studi Emigrazione |Rome, Italy|1964-date||ita|eng,fre,|P||N|||Emigration Studies|
Studi Emigrazione |Rome, Italy|1966-1967, 1969||ita|eng|P||N|||Emigration Studies; supplement|
Il Teatro; Rivista Mensile per il Mondo Artistico |New York, NY|1943||ita|eng|P||N|||The Theater; Monthly Review of the Artistic World|
Trade with Italy|New York, NY|1967||ita|eng,|P||N||||
Tradizioni |Philadelphia, PA|1984||ita|eng,ita,|P||N|||Tradition; Italian Folk Art Federation of America|
Il Tricolore - Italy Is |Hollywood, CA|1974||ita|eng,|P||N|||The Tricolor - Italy Is|
Umanesimo |Naples, Italy|1967||ita|eng,|P||N|||Humanism|
Umberto & Bresci|New York, NY|1903); microfilm: 1903||ita|eng,fre,|M||N||||
UNICO |1976), Bloomfield, NJ|1962, 1966-date||ita|eng,|P||N|||title changed to UNICO National Magazine|
UNICO Foundation Inc. Bulletin|Greenfield, WI|1977||ita|eng,|P||N||||
Return to top.||||ita||P||N||||
UNICO National Convention|United States (various cities)|1968-1980||ita|eng,|P||N||||
