Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Lo Svegliarino |Seattle, WA|1959-1962, 1965-1968; microfilm: 1947-1961||ita|eng,|M||N|||The Little Alarm Clock|
La Terra |Stockton, CA|1907); microfilm: 1907||ita|eng|M||N|||The Earth|
La Tribuna |Stamford, CT|1947, 1950-1952||ita|eng|P||N|||The Tribune|
La Tribuna del Popolo |Boston, MA|1915); microfilm: 1915||ita|eng|M||N|||The People's Tribune|
La Tribuna del Popola |and La Tribuna Italiana del Michigan), Detroit, MI|1947-1952, 1970-1977; microfilm: 1909-1911, 1913-1921, 1923-1969||ita|ita,eng|M||N|||The People's Tribune; previously titled La Tribuna Italiana d'America|
La Tribuna di Utica |Utica, NY|1912); microfilm: 1912||ita|eng|M||N|||The Utica Tribune|
La Tribuna Italiana |Milwaukee, WI|1941-1967); microfilm: 1941-1967||ita|eng,ita,|M||N|||The Italian Tribune|
La Tribuna Italiana Transatlantica |Chicago, IL|1907, 1923||ita|ita,eng|P||N|||The Transatlantic Italian Tribune|
Il Tribuno |Newark, NJ|1908); microfilm: 1908||ita|eng|M||N|||The Tribune|
The Trumpet |Denver, CO|1935-1942||ita|eng,|P||N|||La Tromba|
Unione |Pittsburgh, PA|1972||ita|eng|P||N|||Union|
L'Unione |Pueblo, CO|1907-1908, 1014, 1922, 1924-1926, 1934-1935, 1937-1938, 1940-1947; microfilm: 1897-1900, 1916-1917, 1921-1927, 1931-1934||ita|eng|M||N|||Union|
L'Unione Mondiale |Rome, Italy|1947||ita|eng|P||N|||The Worldwide Union|
L'Unità Operaia |1938), New York, NY|1935-1938||ita|eng|P||N|||Working-class Unity; continues as a serial|
L'Unità del Popolo |New York, NY|1939-1949; microfilm: 1940-1951||ita|eng,|M||N|||Unity of the People|
University Press |Des Moines, IA|1936-1969||ita|eng,|P||N|||previously titled The West Des Moines Press|
Vaco 'e Pressa |New York, NY|1935||ita|eng|P||N|||In a Hurry|
Il Vallo |Salerno, Italy|1947||ita|eng|P||N|||The Rampart|
La Vera Redenzione |Bridgeport, CT|1917); microfilm: 1917||ita|eng|M||N|||The True Redemption|
Il Vesuvio |Philadelphia, PA|1896); microfilm: 1896||ita|eng|M||N|||Vesuvius|
Il Vindice |Pueblo, CO|1907-1909, 1911, 1913-1915, 1917, 1919-1920, 1922-1924, 1927-1928||ita|eng,|P||N|||The Avenger; changes to magazine in 1927|
Vita Nuova |Rock Springs, WY|1908-1909||ita|eng|P||N|||New Life|
La Vittoria |New York, NY|||ita|eng|P||N|||Victory|
La Vittoria |Toronto, Ontario, Canada|1942-1943); microfilm: 1942-1943||ita|eng,|M||N|||Victory|
La Voce |Newington, CT (Harwinton, CT)|1973-1974||ita|eng,|P||N|||The Voice|
La Voce |Rincón, Argentina|1956||ita|eng|P||N|||The Voice|
La Voce del Popolo |Dearborn, MI|1964, 1969-1970||ita|eng,|P||N|||The Voice of the People|
La Voce del Popolo |San Francisco, CA|1868-1905); microfilm: 1868-1905||ita|eng|M||N|||The Voice of the People|
La Voce del Popolo Italiano |Cleveland, OH|1909-1922); microfilm: 1909-1922||ita|eng,ita,|M||N|||The Voice of the Italian People|
La Voce della Colonia |Philadelphia, PA|1896); microfilm: 1896||ita|eng|M||N|||The Voice of the Colony|
La Voce dell'Emigrante |Kansas City, MO|1915||ita|eng,|P||N|||The Voice of the Emigrant|
La Voce degli Italo-Canadesi |Toronto, Ontario, Canada|1938-1940); microfilm: 1938-1940||ita|ita,eng|M||N|||The Voice of Italian Canadians|
La Voce d'Italia |Brooklyn, NY|1947||ita|eng|P||N|||The Voice of Italy|
La Voce Indipendente |Philadelphia, PA|1938||ita|eng|P||N|||The Independent Voice|
La Voce Italiana |Paterson, NJ|1982-date||ita|ita,eng|P||N|||The Italian Voice|
Voce Italiana |Washington, DC|1975-1986||ita|eng,ita,|P||N|||Italian Voice|
Voce Libertarià |New York, NY|||ita|eng|P||N|||Libertarian Voice|
The Voice of Italy|New York, NY|1935-1936||ita|eng,|P||N||||
