Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Koledar Presernove Knjiznice |Ljubljana, Yugoslavia|1951||slv|eng|P||N|||Calendar of the Presern Library|
Konzument |Maribor, Yugoslavia|1929); microfilm: 1929||slv|eng|M||N|||The Consumer|
Koprive |Cleveland, OH|1950-1952||slv|eng|P||N|||Nettles|
Legija Imene Mariji v Fari Sv. Vida |Cleveland, OH|1962||slv|eng|P||N|||The Legion of Mary's Name in Fara St. Vitus|
Letops Matice Slovenske |Ljubljana, Yugoslavia|1872-1874, 1878, 1880-1881, 1884-1887, 1889-1907, 1910-1912||slv|slv,eng|P||N|||The Annual of the Slovenian Matica|
Return to Top||||slv||P||N||||
Majski Glas |Chicago, IL|1933-1945||slv|eng|P||N|||The May Herald|
Mali Ave Maria |New York, NY|1917||slv|eng|P||N|||Little Ave Maria|
Med Prijatelji |Cleveland, OH|1961||slv|eng|P||N|||Among Friends|
Minnesotski Zvon |Chicago, IL|1951-1954||slv|eng|P||N|||The Minnesota Chimes|
Misijonski Koledar |Groblje, Yugoslavia|1937||slv|eng|P||N|||Missionary Calendar|
Misijonski Zbornik |Buenos Aires, Argentina|1953||slv|eng|P||N|||Missionary Register|
Mladinski List ||||slv|eng|P||N|||see Voice of Youth|
Nada |Chicago, IL|1905); microfilm: 1905||slv|eng|M||N|||Hope|
Nas Dom |Buenos Aires, Argentina|1941||slv|eng|P||N|||Our Home|
Nas Gospodar |Chicago, IL|1912; microfilm: 1912-1913||slv|eng|M||N|||Our Proprietor|
Nasa Luc |Celovec, Yugoslavia|1952||slv|eng|P||N|||Our Light; Society of St. Mohor|
Return to Top||||slv||P||N||||
Nasa Vez |Toronto, Ontario, Canada|1949-1950, 1952||slv|eng|P||N|||Our Bond|
Niiwa|Buenos Aires, Argentina|1937); microfilm: 1937||slv||M||N||||
Nova Doba |Pittsburgh, PA|1914); microfilm: 1914||slv|eng|M||N|||New Era|
Novi Amerikanec |New York, NY|1949||slv|eng|P||N|||New American|
Novi Cas |Cleveland, OH|1915-1928||slv|eng|P||N|||New Time; previously titled Cas|
Novi Svet |Chicago, IL|1938-1958, 1960-1965||slv|eng,|P||N|||New World Herald|
Odmevi |New York, NY|1964-1965, 1968-1970, 1972-1974||slv|eng,|P||N|||Echoes; previously titled Odmevi z Osme and Odmevi Glasilo Drustva Sava|
Omnes Unum|Buenos Aires, Argentina|1954-1960||slv||P||N||||
Our Lady of the Miraculous Medal Church Financial Report|Toronto, Ontario, Canada|||slv||P||N||||
Ozare |Cleveland, OH|1957-1959||slv|eng|P||N|||Beautiful Fields|
Return to Top||||slv||P||N||||
Pomoc |Pueblo, CO|1929-1931); microfilm: 1929-1931||slv|eng|M||N|||Help|
Proletarec; Slovensko Glasilo Jugoslovenske Socialisticke Zveze |Chicago, IL|1918-1929||slv|slv,eng|P||N|||The Proletarian; The Slovenian Organ of the Yugoslav Socialist Alliance|
Prvi Majnik |Ljubljana, Yugoslavia|1909||slv|eng|P||N|||May Day|
Razgovori in Razgledi; List Studijskega Krozka za Slovensko Kulturo |Willowdale, Ontario, Canada|1955-1957||slv|slv,eng|P||N|||Talks and Opinion; Newsletter of the Study Circle for Slovenian Culture|
Razprave†in†gradivo†/†In≈°titut za narodnostna vpra≈°anja|Ljubljana = Treatises and documents / Institute for Ethnic Studies, Ljubljana, Slovenia|199||slv||P||N||||
Resnica |Holy Cross, Danica, and Slovenian Men's Association), Chicago, IL|1949||slv|slv,eng|P||N|||Truth; Slovenian Lodges of St. Mohor|
Rodna Gruda |Ljubljana, Yugoslavia|1954-1972, 1983-date||slv|eng,|P||N|||Homeland|
St. Ciril's Slovenian Catholic Church Annual Report|New York, NY|1963||slv|slv,|P||N||||
St. George's Slovenian Roman Catholic Church Annual Report|Chicago, IL (?)|1960||slv|eng,slv,|P||N||||
St. John the Evangelist Parish Financial Statement|Milwaukee, WI|1959||slv|eng,|P||N||||
St. Lawrence's Slovenian Catholic Church Annual Report|Cleveland, OH|1938, 1940, 1945, 1949||slv|eng,slv,|P||N||||
Return to Top||||slv||P||N||||
St. Mary's Slovenian Catholic Church Annual Church|Cleveland, OH|1948-1949||slv|eng,slv,|P||N||||
St. Stephen's Chimes|Chicago, IL|1956-1958, 1965||slv|eng,|P||N||||
St. Stephen's Slovenian Catholic Church Annual Financial Report|Chicago, IL|1938, 1951, 1953, 1959||slv|eng,slv,|P||N||||
St. Stephen's Slovenian Catholic Church Parish Roster|Chicago, IL|1956, 1958||slv|eng,slv,|P||N||||
St. Stephen's Slovenian Catholic School Alumni Bulletin|Chicago, IL|1964||slv|eng,slv,|P||N||||
St. Thaddeus Slovenian Catholic Church|Joliet, IL|1964||slv|eng,slv,|P||N||||
St. Therese's Slovenian Catholic Church Annual Report|Johnstown, PA|1934||slv|eng,slv,|P||N||||
St. Vitus' Slovenian Catholic Church Financial Report And Envelope Account|Cleveland, OH|1944||slv|eng,slv,|P||N||||
St. Vitus' Slovenian Catholic Church Annual Report|Cleveland, OH|1948||slv|eng,slv,|P||N||||
Sts. Cyril and Methodius' Slovenian Catholic Church Yearbook|Rock Springs, WY|1931, 1934||slv|eng,slv,|P||N||||
Return to Top||||slv||P||N||||
Sij Slovenske Svobode; Alba de la Libertad Eslovenia |Buenos Aires, Argentina|1972, 1974-1976||slv|slv,eng|P||N|||The Glow of Slovenian Liberty|
