Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Latviesu Kreditsabiedribu Gada Gramata |Toronto, Ontario, Canada|1976-1979||lav|lav,eng|P||N|||Latvian Credit Union Yearbook; previously titled Latviesu Banku Kalendars|
Latviesu Liberalu Apvieniba Informacijas Biletens |Washington, DC|||lav|lav,eng|P||N|||Latvian Liberal Association Information Bulletin|
Latviesu Mezkopju un Meza Darbinieku Kopa ASV |Grand Rapids, MI|1964, 1967||lav|lav,eng|P||N|||Latvian Foresters and Forest Workers Group in America|
Latviesu Nacionala Apvieniba Kanada Zinas |Toronto, Ontario, Canada|||lav|lav,eng|P||N|||Canadian Latvian National Association News|
Latviesu Preses B-Bas Gada Gramata |Waverly, IA (?)|1952||lav|lav,eng|P||N|||Latvian Press Society's Yearbook|
Latviesu Pretestibas Kustibas Dalibnieku Apvieniba Informacija |Detroit, MI (previously published in Greven, West Germany)|||lav|ger,lav,eng|P||N|||Latvian Resistance Movement Participants' Association Information|
Latviesu Skautu Prieksnieks |Grand Rapids, MI|1957-1958, 1963||lav|lav,eng|P||N|||Latvian Scout Leader|
Latviesu Studentu Centrala Savieniba Apkartraksts |St|||lav|lav,eng|P||N|||Latvian Students' Central Union Newsletter|
Latviesu Teatru Apvienibas Ziemel-Amerika Apkartraksts |Cleveland, OH|1966-1979||lav|lav,eng|P||N|||North American Latvian Theater Association Newsletter|
Latviesu Trimdinieku Kalendars |Fürth, Germany|1948||lav|ger,lav,eng|P||N|||Latvian Exiles' Calendar|
Latvietis Latvietim |Rockville, MD|||lav|lav,eng|P||N|||A Latvian for a Latvian|
Latvija Sodien |Washington, DC|1972-1980||lav|eng|P||N|||Latvia Today|
Latvijas Brivibai |New York, NY|1952-1961, 1967-1969, 1972||lav|eng|P||N|||For Latvia's Freedom|
